# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
あいうち,Aiuti
あいうら,Aiura
あいが,Aiga
あいかわ,Aikawa
あいき,Aiki
あいこう,Aikô
あいさか,Aisaka
あいざき,Aizaki
あいさわ,Aisawa
あいざわ,Aizawa
あいじま,Aizima
あいず,Aizu
あいそ,Aiso
あいた,Aita
あいだ,Aida
あいち,Aiti
あいづ,Aizu
あいない,Ainai
あいの,Aino
あいば,Aiba
あいはら,Aihara
あいばら,Aibara
あいふく,Aihuku
あいま,Aima
あいみ,Aimi
あいもと,Aimoto
あいやま,Aiyama
あお,Ao
あおい,Aoi
あおいけ,Aoike
あおえ,Aoe
あおき,Aoki
あおしか,Aosika
あおしま,Aosima
あおた,Aota
あおだ,Aoda
あおたに,Aotani
あおち,Aoti
あおつか,Aotuka
あおと,Aoto
あおなぎ,Aonagi
あおぬま,Aonuma
あおの,Aono
あおば,Aoba
あおまつ,Aomatu
あおもり,Aomori
あおや,Aoya
あおやぎ,Aoyagi
あおやなぎ,Aoyanagi
あおやま,Aoyama
あか,Aka
あかい,Akai
あかいけ,Akaike
あかいし,Akaisi
あかいわ,Akaiwa
あかお,Akao
あかおか,Akaoka
あかおぎ,Akaogi
あかがわ,Akagawa
あかき,Akaki
あかぎ,Akagi
あかさか,Akasaka
あかさき,Akasaki
あかざき,Akazaki
あかさわ,Akasawa
あかざわ,Akazawa
あかし,Akasi
あかす,Akasu
あかせ,Akase
あかた,Akata
あかだ,Akada
あがた,Agata
あかたに,Akatani
あかち,Akati
あかつ,Akatu
あかつか,Akatuka
あかづか,Akazuka
あかつき,Akatuki
あかつち,Akatuti
あがつま,Agatuma
あかな,Akana
あかぬま,Akanuma
あかね,Akane
あかの,Akano
あがの,Agano
あかは,Akaha
あかば,Akaba
あかはね,Akahane
あかばね,Akabane
あかひら,Akahira
あかほ,Akaho
あかほし,Akahosi
あかぼし,Akabosi
あかほり,Akahori
あかぼり,Akabori
あかま,Akama
あかまつ,Akamatu
あかみね,Akamine
あかやま,Akayama
あがり,Agari
あがりえ,Agarie
あがわ,Agawa
あき,Aki
あきえだ,Akieda
あきおか,Akioka
あきさわ,Akisawa
あきた,Akita
あきたや,Akitaya
あきつ,Akitu
あきつき,Akituki
あきづき,Akizuki
